t (yr),P1_x (AU),P1_y (AU),P2_x (AU),P2_y (AU),P3_x (AU),P3_y (AU),P4_x (AU),P4_y (AU),P5_x (AU),P5_y (AU)
1.52,0.04501,-2.13226,6.76451,1.36136,-1.67202,1.04377,-3.64796,0.83193,4.24182,0.07338
1.53,0.05719,-2.12347,6.79607,1.39935,-1.66333,1.09292,-3.79723,0.86765,4.30441,0.07196
1.54,0.06932,-2.11239,6.82367,1.43644,-1.65474,1.14502,-3.95181,0.90572,4.36835,0.07055
1.55,0.08140,-2.09904,6.84729,1.47259,-1.64627,1.20005,-4.11181,0.94621,4.43358,0.06912
1.56,0.09341,-2.08343,6.86689,1.50774,-1.63795,1.25799,-4.27732,0.98918,4.50005,0.06770
1.57,0.10534,-2.06556,6.88243,1.54185,-1.62980,1.31881,-4.44846,1.03468,4.56770,0.06627
1.58,0.11718,-2.04546,6.89388,1.57486,-1.62184,1.38248,-4.62534,1.08277,4.63647,0.06484
1.59,0.12891,-2.02315,6.90119,1.60673,-1.61411,1.44900,-4.80806,1.13350,4.70632,0.06341
1.60,0.14053,-1.99865,6.90434,1.63742,-1.60662,1.51833,-4.99673,1.18691,4.77718,0.06197
1.61,0.15201,-1.97200,6.90333,1.66687,-1.59940,1.59048,-5.19148,1.24304,4.84898,0.06053
1.62,0.16335,-1.94323,6.89814,1.69504,-1.59246,1.66539,-5.39242,1.30193,4.92167,0.05908
1.63,0.17452,-1.91238,6.87979,1.72188,-1.58584,1.74301,-5.59966,1.36363,4.99516,0.05764
1.64,0.18552,-1.87948,6.86249,1.74836,-1.57956,1.82328,-5.81331,1.42818,5.06938,0.05619
1.65,0.19632,-1.84457,6.83758,1.77341,-1.57363,1.90615,-6.03348,1.49563,5.14424,0.05474
1.66,0.20692,-1.80770,6.81155,1.79795,-1.56807,1.99158,-6.26027,1.56602,5.21966,0.05329
1.67,0.21728,-1.76891,6.78018,1.82143,-1.56291,2.07950,-6.49381,1.63939,5.29555,0.05184
1.68,0.22740,-1.72824,6.74812,1.84439,-1.55816,2.16987,-6.73420,1.71576,5.37184,0.05039
1.69,0.23725,-1.68576,6.71185,1.86657,-1.55383,2.26260,-6.98157,1.79518,5.44845,0.04894
1.70,0.24682,-1.64152,6.67451,1.88835,-1.55008,2.35764,-7.23606,1.87768,5.52528,0.04749
1.71,0.25609,-1.59559,6.63469,1.90954,-1.54677,2.45491,-7.49780,1.96329,5.60226,0.04604
1.72,0.26505,-1.54805,6.59207,1.93006,-1.54397,2.55436,-7.76690,2.05202,5.67930,0.04459
1.73,0.27367,-1.49897,6.54636,1.94982,-1.54173,2.65592,-8.04351,2.14390,5.75633,0.04314
1.74,0.28193,-1.44843,6.49727,1.96874,-1.54010,2.75954,-8.32777,2.23901,5.83327,0.04169
1.75,0.28982,-1.39651,6.44455,1.98675,-1.53907,2.86518,-8.61981,2.33735,5.90998,0.04025
1.76,0.29731,-1.34329,6.38794,2.00378,-1.53870,2.97277,-8.91979,2.43896,5.98638,0.03881
1.77,0.30438,-1.28885,6.32721,2.01976,-1.53901,3.08226,-9.22784,2.54388,6.06236,0.03737
1.78,0.31102,-1.23328,6.26217,2.03463,-1.54005,3.19361,-9.54413,2.65213,6.13781,0.03593
1.79,0.31720,-1.17666,6.19262,2.04834,-1.54181,3.30676,-9.86877,2.76377,6.21262,0.03450
1.80,0.32292,-1.11907,6.11840,2.06085,-1.54433,3.42168,-10.20186,2.87883,6.28670,0.03306
1.81,0.32815,-1.06059,6.03936,2.07212,-1.54763,3.53830,-10.54350,2.99732,6.35994,0.03163
1.82,0.33288,-1.00130,5.95537,2.08212,-1.55171,3.65659,-10.89381,3.11929,6.43224,0.03020
1.83,0.33709,-0.94129,5.86632,2.09081,-1.55661,3.77651,-11.25290,3.24474,6.50352,0.02878
1.84,0.34076,-0.88062,5.77212,2.09817,-1.56233,3.89803,-11.62089,3.37372,6.57366,0.02735
1.85,0.34389,-0.81938,5.67268,2.10419,-1.56888,4.02111,-12.00030,3.50571,6.64257,0.02593
1.86,0.34645,-0.75765,5.56795,2.10884,-1.57626,4.14570,-12.38370,3.64273,6.71015,0.02452
1.87,0.34844,-0.69550,5.45785,2.11210,-1.58448,4.27178,-12.77170,3.78465,6.77632,0.02310
1.88,0.34984,-0.63302,5.34233,2.11394,-1.59353,4.39930,-13.16480,3.93155,6.84102,0.02169
1.89,0.35065,-0.57029,5.22137,2.11434,-1.60341,4.52825,-13.56360,4.08343,6.90416,0.02028
1.90,0.35086,-0.50742,5.09495,2.11329,-1.61413,4.65856,-13.96860,4.24036,6.96568,0.01887
1.91,0.35046,-0.44449,4.96309,2.11078,-1.62568,4.79018,-14.38050,4.40242,7.02553,0.01747
1.92,0.34945,-0.38160,4.82580,2.10682,-1.63806,4.92298,-14.79980,4.56965,7.08365,0.01607
1.93,0.34784,-0.31885,4.68309,2.10140,-1.65127,5.05690,-15.22720,4.74211,7.13998,0.01467
1.94,0.34560,-0.25633,4.53500,2.09452,-1.66531,5.19183,-15.66330,4.91986,7.19449,0.01328
1.95,0.34275,-0.19412,4.38155,2.08619,-1.68018,5.32766,-16.10880,5.10296,7.24713,0.01189
1.96,0.33927,-0.13233,4.22280,2.07643,-1.69588,5.46430,-16.56420,5.29147,7.29786,0.01050
1.97,0.33517,-0.07106,4.05881,2.06525,-1.71241,5.60166,-17.02980,5.48545,7.34664,0.00912
1.98,0.33045,-0.01040,3.88965,2.05267,-1.72977,5.73960,-17.50630,5.68496,7.39345,0.00773
1.99,0.32510,0.04969,3.71539,2.03871,-1.74796,5.87802,-17.99420,5.89006,7.43823,0.00635
2.00,0.31913,0.10931,3.53612,2.02339,-1.76698,6.01676,-18.49410,6.10081,7.48096,0.00497
2.01,0.31254,0.16843,3.35232,2.00673,-1.78683,6.15570,-19.00670,6.31728,7.52158,0.00359
2.02,0.30533,0.22702,3.16335,1.98877,-1.80750,6.29474,-19.53270,6.53952,7.56006,0.00221
2.03,0.29750,0.28507,2.96989,1.96954,-1.82898,6.43372,-20.07290,6.76760,7.59635,0.00084
2.04,0.28906,0.34255,2.77259,1.94908,-1.85127,6.57253,-20.62800,7.00159,7.63044,-0.00054
2.05,0.28000,0.39945,2.57212,1.92742,-1.87436,6.71110,-21.19880,7.24155,7.66228,-0.00191
2.06,0.27033,0.45574,2.36906,1.90460,-1.89825,6.84931,-21.78600,7.48755,7.69188,-0.00328
2.07,0.26006,0.51140,2.16401,1.88069,-1.92293,6.98708,-22.39040,7.73966,7.71922,-0.00465
2.08,0.24918,0.56642,1.95758,1.85573,-1.94839,7.12431,-23.01280,7.99793,7.74428,-0.00602
2.09,0.23770,0.62078,1.75037,1.82977,-1.97462,7.26093,-23.65390,8.26244,7.76707,-0.00739
2.10,0.22562,0.67446,1.54298,1.80287,-2.00162,7.39686,-24.31460,8.53325,7.78757,-0.00876
2.11,0.21295,0.72744,1.33599,1.77508,-2.02937,7.53202,-24.99580,8.81044,7.80577,-0.01013
2.12,0.19970,0.77970,1.12999,1.74647,-2.05788,7.66633,-25.69830,9.09407,7.82166,-0.01150
2.13,0.18588,0.83120,0.92556,1.71710,-2.08713,7.79972,-26.42300,9.38421,7.83523,-0.01287
2.14,0.17150,0.88193,0.72328,1.68704,-2.11711,7.93213,-27.17080,9.68093,7.84646,-0.01424
2.15,0.15657,0.93186,0.52372,1.65636,-2.14783,8.06348,-27.94250,9.98428,7.85536,-0.01561
2.16,0.14111,0.98097,0.32746,1.62512,-2.17926,8.19371,-28.73900,10.29433,7.86191,-0.01697
2.17,0.12513,1.02924,0.13506,1.59339,-2.21141,8.32276,-29.56130,10.61114,7.86611,-0.01834
2.18,0.10864,1.07664,-0.05364,1.56123,-2.24426,8.45055,-30.41010,10.93475,7.86796,-0.01970
2.19,0.09166,1.12316,-0.23788,1.52870,-2.27780,8.57703,-31.28630,11.26521,7.86745,-0.02106
2.20,0.07421,1.16878,-0.41724,1.49587,-2.31203,8.70216,-32.19080,11.60256,7.86458,-0.02242
2.21,0.05630,1.21348,-0.59132,1.46280,-2.34692,8.82590,-33.12450,11.94685,7.85934,-0.02378
2.22,0.03795,1.25725,-0.75971,1.42954,-2.38246,8.94819,-34.08830,12.29813,7.85172,-0.02514
2.23,0.01918,1.30007,-0.92203,1.39617,-2.41864,9.06899,-35.08310,12.65646,7.84172,-0.02649
2.24,-0.00000,1.34193,-1.07790,1.36275,-2.45544,9.18826,-36.10990,13.02190,7.82933,-0.02784
2.25,-0.01962,1.38281,-1.22699,1.32936,-2.49285,9.30596,-37.16960,13.39452,7.81454,-0.02919
2.26,-0.03901,1.42269,-1.36900,1.29606,-2.53086,9.42205,-38.26320,13.77437,7.79735,-0.03054
2.27,-0.05814,1.46155,-1.50365,1.26294,-2.56945,9.53650,-39.39170,14.16152,7.77777,-0.03188
2.28,-0.07699,1.49936,-1.63068,1.23005,-2.60860,9.64927,-40.55620,14.55604,7.75577,-0.03322
2.29,-0.09553,1.53612,-1.74987,1.19747,-2.64831,9.76033,-41.75770,14.95800,7.73136,-0.03456
2.30,-0.11374,1.57181,-1.86098,1.16531,-2.68856,9.86965,-42.99720,15.36746,7.70453,-0.03589
2.31,-0.13159,1.60639,-1.96381,1.13364,-2.72934,9.97722,-44.27580,15.78448,7.67527,-0.03722
2.32,-0.14906,1.63986,-2.05819,1.10255,-2.77063,10.08301,-45.59460,16.20914,7.64359,-0.03855
2.33,-0.16613,1.67219,-2.14397,1.07212,-2.81242,10.18700,-46.95450,16.64150,7.60950,-0.03987
2.34,-0.18279,1.70335,-2.22106,1.04245,-2.85469,10.28917,-48.35670,17.08162,7.57300,-0.04119
2.35,-0.19901,1.73332,-2.28938,1.01362,-2.89743,10.38948,-49.80210,17.52957,7.53409,-0.04250
2.36,-0.21479,1.76207,-2.34888,0.98572,-2.94061,10.48792,-51.29170,17.98541,7.49279,-0.04381
